"﻿""Campus""",Level,Student,Subject,accuracy (AVG)
Single-user 2hr learning,L2,Anon#1099,Science,0.9
Single-user 2hr learning,L2,Anon#1587,Language,0.5633333333333334
Single-user 2hr learning,L2,Anon#1587,Math,0.975
Single-user 2hr learning,L2,Anon#1587,Reading,0.64
Single-user 2hr learning,L2,Anon#1587,Science,0.97
Single-user 2hr learning,L2,Anon#1897,Language,0.8525
Single-user 2hr learning,L2,Anon#1897,Math,0.93
Single-user 2hr learning,L2,Anon#1897,Reading,0.78
Single-user 2hr learning,L2,Anon#1897,Science,0.7275
Single-user 2hr learning,L2,Anon#1981,Language,0.8133333333333334
Single-user 2hr learning,L2,Anon#1981,Math,0.8375
Single-user 2hr learning,L2,Anon#1981,Reading,0.79
Single-user 2hr learning,L2,Anon#1981,Science,0.7966666666666667
Single-user 2hr learning,L2,Anon#2092,Language,0.94
Single-user 2hr learning,L2,Anon#2092,Math,0.925
Single-user 2hr learning,L2,Anon#2092,Science,0.8733333333333334
Single-user 2hr learning,L3,Anon#285,Language,0.8099999999999999
Single-user 2hr learning,L3,Anon#285,Math,0.924
Single-user 2hr learning,L3,Anon#285,Reading,0.758
Single-user 2hr learning,L3,Anon#285,Science,0.86
Single-user 2hr learning,L3,Anon#1445,Math,0.8299999999999998
Single-user 2hr learning,L3,Anon#1445,Science,0.72
Single-user 2hr learning,L3,Anon#1903,Language,0.9112499999999999
Single-user 2hr learning,L3,Anon#1903,Math,0.8366666666666666
Single-user 2hr learning,L3,Anon#1903,Reading,0.4714285714285714
Single-user 2hr learning,L3,Anon#1903,Science,0.8366666666666666
Single-user 2hr learning,L3,Anon#2119,Math,
Single-user 2hr learning,L3,Anon#2119,Reading,
Single-user 2hr learning,Linc,Anon#367,Math,
Single-user 2hr learning,Linc,Anon#367,Reading,1
Single-user 2hr learning,Linc,Anon#392,Language,0.7966666666666665
Single-user 2hr learning,Linc,Anon#392,Math,0.89
Single-user 2hr learning,Linc,Anon#392,Reading,0.8960000000000001
Single-user 2hr learning,Linc,Anon#392,Science,0.8987499999999999
Single-user 2hr learning,Linc,Anon#1154,Language,0.88
Single-user 2hr learning,Linc,Anon#1154,Math,0.4
Single-user 2hr learning,Linc,Anon#1154,Reading,0.8049999999999999
Sports Academy: Lakeway,L1,Anon#996,Language,0.92
Sports Academy: Lakeway,L1,Anon#996,Science,
Sports Academy: Lakeway,L1,Anon#2402,Language,0.84
Sports Academy: Lakeway,L1,Anon#2402,Math,0.8675
Sports Academy: Lakeway,L1,Anon#2402,Reading,0.9233333333333333
Sports Academy: Lakeway,L2,Anon#051,Math,
Sports Academy: Lakeway,L2,Anon#051,Reading,
