"﻿""Student""",Subject,Lessons Mastered,Levels Mastered vs. Target,Accuracy
Anon#1551,Math,32,4,0.9137055837563451
Anon#1563,Math,10,1.25,0.8317307692307693
Anon#1583,Math,4,0.5,0.7391304347826086
Anon#1587,Language,,0,0.696969696969697
Anon#1587,Math,4,0.3333333333333333,0.9655172413793104
Anon#1587,Reading,1,0.125,0.6428571428571429
Anon#1587,Science,2,0.5,0.9629629629629629
Anon#1589,Math,15,1.875,0.8145695364238411
Anon#1601,Math,4,0.5,1
Anon#1604,Math,11,1.375,0.9240506329113924
Anon#1634,Math,15,1.875,0.9318181818181818
Anon#1638,Math,6,0.75,0.8387096774193549
Anon#1645,Math,67,8.375,0.981651376146789
Anon#1705,Math,2,0.25,0.8235294117647058
Anon#1760,Math,0,0,1
Anon#1803,Math,10,1.25,0.875
Anon#1803,Science,5,2.5,0.815028901734104
Anon#1807,Language,2,0.5,0.9636363636363636
Anon#1807,Math,2,0.25,0.8490566037735849
Anon#1807,Reading,3,0.375,0.7317073170731707
Anon#1807,Science,2,0.5,0.8888888888888888
Anon#1814,Math,3,0.375,0.8181818181818182
Anon#1819,Math,0,0,1
Anon#1832,Language,2,0.5,0.6395348837209303
Anon#1832,Math,4,0.8333333333333334,0.7208791208791209
Anon#1832,Reading,4,0.5,0.7254901960784313
Anon#1832,Science,,0,0.8333333333333334
Anon#1845,Math,9,1.125,0.9444444444444444
Anon#1847,Math,9,1.125,0.98
Anon#1858,Math,1,0.08333333333333333,0.8
Anon#1871,Language,3,0.375,0.8282828282828283
Anon#1871,Math,6,0.5,0.951048951048951
Anon#1882,Math,35,0,0.7668161434977578
Anon#1897,Language,4,1,0.8415300546448088
Anon#1897,Math,5,0.625,0.9117647058823529
Anon#1897,Reading,2,0.25,0.8095238095238095
Anon#1897,Science,1,0.25,0.7952755905511811
Anon#1903,Language,13,1.0833333333333333,0.8555758683729433
Anon#1903,Math,8,0.6666666666666666,0.86328125
Anon#1903,Reading,0,0,0.48
Anon#1903,Science,5,1.25,0.7985611510791367
Anon#1917,Math,9,1.125,0.8603351955307262
Anon#1920,Language,3,0.75,0.9625
Anon#1920,Math,4,0.3333333333333333,0.8571428571428571
Anon#1920,Reading,1,0.125,0.8888888888888888
Anon#1920,Science,1,0.16666666666666666,0.9636363636363636
Anon#1921,Language,1,0.25,0.96
Anon#1921,Math,1,0.25,0.7692307692307693
Anon#1921,Reading,1,0.125,0.8888888888888888
Anon#1921,Science,,0,0.8571428571428571
Anon#1921,Social Studies,,0,0.868421052631579
Anon#1926,Math,1,0.125,0.9705882352941176
Anon#1935,Math,29,3.625,0.8461538461538461
Anon#1946,Math,6,0.75,0.9
Anon#1951,Math,8,1,0.7640449438202247
Anon#1958,Math,0,0,0.8888888888888888
Anon#1965,Math,4,0.5,0.896551724137931
Anon#1966,Math,7,0.875,0.972972972972973
Anon#1978,Math,5,0.625,0.9534883720930233
Anon#1981,Language,3,0.375,0.7922077922077922
Anon#1981,Math,4,0.3333333333333333,0.8108108108108109
Anon#1981,Reading,3,0.375,0.7954545454545454
Anon#1981,Science,5,1,0.7714285714285715
Anon#1985,Reading,0,0,0.6666666666666666
Anon#2008,Reading,0,0,0.6595744680851063
Anon#2092,Language,9,1.125,0.9466666666666667
Anon#2092,Math,3,0.375,0.9583333333333334
Anon#2092,Science,,0,0.8205128205128205
Anon#2101,Math,2,0.25,0.8947368421052632
Anon#2108,Math,2,0.25,0.7777777777777778
Anon#2119,Math,,0,
Anon#2185,Math,0,0,0.8
Anon#2193,Science,2,0.5,0.8627450980392157
Anon#2212,Math,11,1.375,0.8588235294117647
Anon#2227,Math,46,5.75,0.9090909090909091
Anon#2228,Math,0,0,
Anon#2229,Math,3,0.375,0.8888888888888888
Anon#2245,Math,7,0.875,0.8785046728971962
Anon#2253,Math,0,0,0.8991228070175439
Anon#2272,Math,0,0,0.967032967032967
Anon#2290,Math,7,0.875,0.8395061728395061
Anon#2292,Math,4,0.5,0.9411764705882353
Anon#2301,Math,1,0.125,0.7058823529411765
Anon#2304,Math,0,0,
Anon#2307,Math,12,1.5,0.75
Anon#2308,Math,8,1,0.9393939393939394
Anon#2312,Language,2,0.5,0.9
Anon#2312,Math,1,0.125,1
Anon#2312,Reading,1,0.125,0.875
Anon#2312,Science,4,1.5001500150015001,0.8615384615384616
Anon#2318,Language,9,0.75,0.9214285714285714
Anon#2318,Math,1,0.125,0.7586206896551724
Anon#2318,Reading,3,0.375,0.7027027027027027
Anon#2334,Math,13,1.625,0.8951048951048951
Anon#2338,Math,3,0.375,1
Anon#2360,Math,7,0.875,0.9714285714285714
Anon#2361,Math,0,0,0.6363636363636364
Anon#2364,Math,2,0.25,0.9333333333333333
Anon#2379,Math,0,0,0.7441860465116279
Anon#2402,Language,4,0.8333333333333334,0.8372093023255814
Anon#2402,Math,4,0.5,0.8686868686868687
Anon#2402,Reading,3,0.375,0.9230769230769231
Anon#2409,Science,2,0.7500750075007501,0.7592592592592593
